MCS 1,  MCS_ID = 0914-002
Pass Length=  1000, Pass Count =       5000, Pass Count Preset =       5000
Dwell Time =            20ns
Trigger = External,  Acquisition Mode = Sum
Data collected at 07:26:40 on 12-25-48
Spectrum is not Calibrated
No hardware description
Sample Description:
acetona, pbs:11.6
Disc Selected: Voltage=    -0.300293V,  Edge=Falling
CHANNEL    DATA

      0          0          0          0          0          0          0
      6          0          0          0          0          0          0
     12          0          0          0          0          0          0
     18          0          0          0          0          0          0
     24          0          0          0          0          0          0
     30          0          0          0          0          0          0
     36          0          0          0          0          0          0
     42          0          0          0          0          0          0
     48          0          0          0          0          0          0
     54          0          0          0          0          0          0
     60          0          0          0          0          0          0
     66          0          0          0          0          0          8
     72          3          4          1          1          0          0
     78          0          0          0          0          0          0
     84          0          0          1          0          0          0
     90          0          0          0          0          1          0
     96          0          0          1          2          0          0
    102          0          0          0          0          0          0
    108          0          0          0          1          0          0
    114          0          0          0          0          0          0
    120          1          1          0          0          0          1
    126          0          0          0          0          1          0
    132          0          0          0          0          0          0
    138          0          1          0          0          0          0
    144          0          0          0          2          0          0
    150          0          0          0          0          0          0
    156          0          0          0          1          0          0
    162          1          0          0          0          0          0
    168          0          0          0          0          0          1
    174          0          0          0          0          0          0
    180          0          0          2          0          0          0
    186          0          0          0          0          0          0
    192          0          1          0          0          1          0
    198          0          0          0          0          0          0
    204          0          0          0          0          0          1
    210          0          0          0          0          0          0
    216          0          0          0          0          0          0
    222          0          0          0          0          0          0
    228          0          0          0          5         11          6
    234          4          5          1          1          2          4
    240          1          2          4          3          2          1
    246          1          0          1          2          3          1
    252          4          1          1          2          2          1
    258          3         19         17          4          9          4
    264          3          0          1          3          3          0
    270          1          2          1          4          0          0
    276          1          0          0          0          0          0
    282          0          1          0          0          0          0
    288          1          2          0          1          0          0
    294          1          1          1          3          0          0
    300          1          0          1          3          1          1
    306          1          3          0          0          1          0
    312          0          1          0          0          1          1
    318          0          1          0          1          0          0
    324          0          0          0          1          0          2
    330          3          1          0          1          0          0
    336          1          0          3          1          0          2
    342          0          0          1          0          0          1
    348          0          0          0          3          1          1
    354          1          0          2          1          0          0
    360          0          0          0          0          0          2
    366          0          1          0          0          0          0
    372          0          0          0          0          0          0
    378          0          0          0          0          0          0
    384          0          0          0          0          0          0
    390          0          1          0          0          1          0
    396          0          0          0          0          1          1
    402          3          0          0          0          1          1
    408          1          1          0          0          0          0
    414          2          1          0          0          0          0
    420          0          0          0          0          0          0
    426          1          1          0          0          0          0
    432          3          6         19         13          8          7
    438          7          4          6          3          0          2
    444          0          0          1          1          1          2
    450          1          2          0          3          0          0
    456          2          1          1          0          0          0
    462          0          1          2          2          0          0
    468          0          0         14          1          0          1
    474          1          2          0          0          1          1
    480          1          0          1          1          0          1
    486          3          1          0          1          0          1
    492          2          0          0          0          0          1
    498          1          0          1          2          1          1
    504          1          2          0          0          1          1
    510          1          2          2          2          1          0
    516          1          1          0          1          1          0
    522          3          4          0          0          2          0
    528          1          2          0          1          1          2
    534          0          0          0          0          1          4
    540          0          0          1          1          0          0
    546          0          0          1          0          1          2
    552          0          1          1          0          0          1
    558          1          2          3          2          2          4
    564          0          0          0          1          0          0
    570          0          0          1          3          2          0
    576          1          0          0          2          1          1
    582          0          0          0          0          1          0
    588          0          1          0          1          0          1
    594          2          1          0          1          1          0
    600          1          0          0          9          0          0
    606          1          0          4          0          0          2
    612          0          0          0          1          1          2
    618          0          0          1          1          0          1
    624          0          2          1          1          1          0
    630          2          0          1          0          0          0
    636          2          1          0          0          2          1
    642          1          0          0          0          0          0
    648          1          0          2          0          1          0
    654          0          0          0          0          0          0
    660          1          0          0          2          1          1
    666          0          2          1          0          0          0
    672          0          0          1          0          0          1
    678          0          0          0          0          0          0
    684          0          1          0          1          1          0
    690          0          0          0          0          0          0
    696          0          0          1          1          1          0
    702          0          1          0          0          2          1
    708          2          2          1          0          0          1
    714          0          0          0          0          0          1
    720          0          0          0          0          0          0
    726          0          0          0          0          0          0
    732          1          0          0          0          0          1
    738          1          0          1          1          0          1
    744          0          0          0          0          0          0
    750          0          1          1          1          0          1
    756          1          0          0          1          1          0
    762          0          0          0          1          1          0
    768          1          1          0          0          1          0
    774          0          0          0          0          0          1
    780          0          0          0          0          0          0
    786          0          1          0          0          0          0
    792          1          1          0          1          0          1
    798          1          1          1          0          0          0
    804          1          1          0          0          2          0
    810          1          0          0          0          0          0
    816          0          0          1          1          0          0
    822          0          0          0          0          0          0
    828          1          0          0          0          1          0
    834          0          0          0          1          1          0
    840          0          0          1          1          0          2
    846          1          0          2          1          0          1
    852          0          0          0          0          0          0
    858          0          0          0          1          0          1
    864          0          0          0          3          0          0
    870          0          0          0          0          0          0
    876          0          0          1          0          0          0
    882          0          0          0          0          0          0
    888          0          0          0          3          0          0
    894          0          0          0          1          0          0
    900          0          0          0          0          0          1
    906          1          1          0          0          1          0
    912          0          0          0          0          1          0
    918          0          0          0          0          0          1
    924          0          0          0          0          0          0
    930          0          0          1          0          0          0
    936          0          0          0          0          0          0
    942          0          0          0          0          0          0
    948          0          0          0          0          0          0
    954          0          0          0          0          0          2
    960          0          1          0          0          0          1
    966          0          1          0          0          1          0
    972          0          0          0          0          0          0
    978          0          0          3          0          0          0
    984          1          0          0          0          0          1
    990          0          0          0          1          0          0
    996          0          0          0          1
